id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-bangor-bf,英国,班戈大学,601,Banking & Finance MSc,银行与金融,76,78,80,82,72,6.0,5.5,,,官方要求二等荣誉学位或同等学历（学位细则以官方课程页为准）,雅思总分 6.0、单项不低于 5.5（取自官方课程页，官方核实）；学位要求以官方课程页为准,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bangor.ac.uk/courses/postgraduate/banking-and-finance-msc,2026-07
uk-bangor-accfin,英国,班戈大学,601,Accounting & Finance MSc,会计与金融,76,78,80,82,72,6.0,5.5,,,官方要求二等荣誉学位或同等学历（学位细则以官方课程页为准）,雅思总分 6.0、单项不低于 5.5（取自官方课程页，官方核实）；学位要求以官方课程页为准,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bangor.ac.uk/courses/postgraduate/accounting-and-finance-msc,2026-07
uk-bangor-fin,英国,班戈大学,601,Finance MSc,金融,76,78,80,82,72,6.0,5.5,,,官方要求二等荣誉学位或同等学历（学位细则以官方课程页为准）,雅思总分 6.0、单项不低于 5.5（取自官方课程页，官方核实）；学位要求以官方课程页为准,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bangor.ac.uk/courses/postgraduate/finance-msc,2026-07
uk-bangor-mgmtfin,英国,班戈大学,601,Management & Finance MSc,管理与金融,76,78,80,82,72,6.0,5.5,,,官方要求二等荣誉学位或同等学历（学位细则以官方课程页为准）,雅思总分 6.0、单项不低于 5.5（取自官方课程页，官方核实）；学位要求以官方课程页为准,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bangor.ac.uk/courses/postgraduate/management-and-finance-msc,2026-07
uk-bangor-accbank,英国,班戈大学,601,Accounting & Banking MSc,会计与银行,76,78,80,82,72,6.0,5.5,,,官方要求二等荣誉学位或同等学历（学位细则以官方课程页为准）,雅思总分 6.0、单项不低于 5.5（取自官方课程页，官方核实）；学位要求以官方课程页为准,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bangor.ac.uk/courses/postgraduate/accounting-and-banking-msc,2026-07
