id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-nott-accfin,英国,诺丁汉大学,97,Accounting and Finance MSc,会计,80,82,84,86,76,6.5,6.0,,,2:1 荣誉学位（详见官方课程页）,官方入学要求：2:1 荣誉学位（详见官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/accounting-and-finance-msc,2026-07
uk-nott-civil,英国,诺丁汉大学,97,Advanced Civil Engineering MSc,土木/建筑,76,78,80,82,72,6.0,5.5,,,2:1 荣誉学位（详见官方课程页）,官方入学要求：2:1 荣誉学位（详见官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/advanced-civil-engineering-msc,2026-07
uk-nott-mat,英国,诺丁汉大学,97,Advanced Materials MSc,材料工程,76,78,80,82,72,6.0,5.5,,,2:1 荣誉学位（详见官方课程页）,官方入学要求：2:1 荣誉学位（详见官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/advanced-materials-msc,2026-07
uk-nott-chem,英国,诺丁汉大学,97,Advanced Chemical Engineering MSc,材料工程,76,78,80,82,72,6.0,5.5,,,2:1 荣誉学位（详见官方课程页）,官方入学要求：2:1 荣誉学位（详见官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/advanced-chemical-engineering-msc,2026-07
uk-nott-csai,英国,诺丁汉大学,97,Computer Science (Artificial Intelligence) MSc,数据科学/AI,80,82,84,86,76,6.5,6.0,,,2:1 in Computer Science or a related subject,官方入学要求：2:1 in Computer Science or a related subject,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/computer-science-artificial-intelligence,2026-07
uk-nott-transl,英国,诺丁汉大学,97,Applied Translation Studies MA,翻译/语言,79,81,83,85,75,7.0,6.5,,,2:1 荣誉学位（详见官方课程页）,官方入学要求：2:1 荣誉学位（详见官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/applied-translation-studies-ma,2026-07
uk-nott-fcm,英国,诺丁汉大学,97,Financial and Computational Mathematics MSc,金融工程,80,82,84,86,76,6.5,6.0,,,2:1 荣誉学位（详见官方课程页）,官方入学要求：2:1 荣誉学位（详见官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/financial-and-computational-mathematics-msc,2026-07
