id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-bham-cs,英国,伯明翰大学,84,Computer Science MSc,计算机/CS,80,82,84,86,76,6.5,6.0,,,2:1 honours degree in any subject other than computing,官方入学要求：2:1 honours degree in any subject other than computing,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.birmingham.ac.uk/postgraduate/courses/taught/computer-science/computer-science-msc,2026-07
uk-bham-aiml,英国,伯明翰大学,84,Artificial Intelligence and Machine Learning MSc,数据科学/AI,81,83,85,87,77,6.5,6.0,,,2:1 Honours degree in a numerate discipline,官方入学要求：2:1 Honours degree in a numerate discipline,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.birmingham.ac.uk/postgraduate/courses/taught/computer-science/artificial-intelligence-machine-learning-msc,2026-07
uk-bham-advcs,英国,伯明翰大学,84,Advanced Computer Science MSc,计算机/CS,81,83,85,87,77,6.5,6.0,,,2:1 Honours Degree in Computing or a closely related discipline,官方入学要求：2:1 Honours Degree in Computing or a closely related discipline,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.birmingham.ac.uk/postgraduate/courses/taught/computer-science/advanced-computer-science-msc,2026-07
uk-bham-hci,英国,伯明翰大学,84,Human-Computer Interaction MSc,计算机/CS,79,81,83,85,75,6.5,6.0,,,2:1 Honours Degree in Computer Science or equivalent,官方入学要求：2:1 Honours Degree in Computer Science or equivalent,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.birmingham.ac.uk/postgraduate/courses/taught/computer-science/human-computer-interaction-msc,2026-07
uk-bham-robotics,英国,伯明翰大学,84,Robotics MSc,计算机/CS,80,82,84,86,76,6.5,6.0,,,2:1 Honours degree in a relevant subject,官方入学要求：2:1 Honours degree in a relevant subject,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.birmingham.ac.uk/postgraduate/courses/taught/computer-science/robotics-msc,2026-07
uk-bham-cyber,英国,伯明翰大学,84,Cyber Security MSc,计算机/CS,80,82,84,86,76,6.5,6.0,,,2:1 Honours Degree in a relevant subject,官方入学要求：2:1 Honours Degree in a relevant subject,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.birmingham.ac.uk/postgraduate/courses/taught/computer-science/cyber-security-msc,2026-07
uk-bham-intmkt,英国,伯明翰大学,84,International Marketing MSc,市场营销,80,82,84,86,76,6.5,6.0,,,2:1 荣誉学位或以上（或研究生文凭）,官方入学要求：2:1 荣誉学位或以上（或研究生文凭）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.birmingham.ac.uk/postgraduate/courses/taught/business/international-marketing-msc,2026-07
uk-bham-invest,英国,伯明翰大学,84,Investments MSc,金融,81,83,85,87,77,6.5,6.0,,,2:1 荣誉学位或以上（或研究生文凭）,官方入学要求：2:1 荣誉学位或以上（或研究生文凭）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.birmingham.ac.uk/postgraduate/courses/taught/business/investments-msc,2026-07
