id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
au-uts-it,澳大利亚,悉尼科技大学 UTS,88,Master of Information Technology,信息技术,73,76,78,81,69,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、写作不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 3/8 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uts.edu.au/study/find-a-course/master-information-technology,2026-07
au-uts-dsi,澳大利亚,悉尼科技大学 UTS,88,Master of Data Science & Innovation,数据科学,73,76,78,81,69,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、写作不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 3/8 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uts.edu.au/study/find-a-course/master-data-science-and-innovation,2026-07
au-uts-ba,澳大利亚,悉尼科技大学 UTS,88,Master of Business Analytics,商业分析,73,76,78,81,69,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、写作不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 3/8 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uts.edu.au/study/find-a-course/master-business-analytics,2026-07
au-uts-peng,澳大利亚,悉尼科技大学 UTS,88,Master of Professional Engineering,工程,73,76,78,81,69,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、写作不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 3/8 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uts.edu.au/study/find-a-course/master-professional-engineering,2026-07
au-uts-fin,澳大利亚,悉尼科技大学 UTS,88,Master of Finance,金融,73,76,78,81,69,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、写作不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 3/8 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uts.edu.au/study/find-a-course/master-finance,2026-07
au-uts-eng,澳大利亚,悉尼科技大学 UTS,88,Master of Engineering,工程,73,76,78,81,69,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、写作不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 3/8 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uts.edu.au/study/find-a-course/master-engineering,2026-07
au-uts-scm,澳大利亚,悉尼科技大学 UTS,88,Master of Strategic Supply Chain Management,供应链管理,73,76,78,81,69,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、写作不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 3/8 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uts.edu.au/study/find-a-course/master-strategic-supply-chain-management,2026-07
au-uts-mgmt,澳大利亚,悉尼科技大学 UTS,88,Master of Management,管理学,73,76,78,81,69,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、写作不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 3/8 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uts.edu.au/study/find-a-course/master-management,2026-07
au-uts-mkt,澳大利亚,悉尼科技大学 UTS,88,Master of Marketing,市场营销,73,76,78,81,69,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、写作不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 3/8 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uts.edu.au/study/find-a-course/master-marketing,2026-07
