id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
au-uwa-ds,澳大利亚,西澳大学 UWA,77,Master of Data Science,数据科学,74,77,79,82,70,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uwa.edu.au/study/courses/master-of-data-science,2026-07
au-uwa-it,澳大利亚,西澳大学 UWA,77,Master of Information Technology,信息技术,74,77,79,82,70,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uwa.edu.au/study/courses/master-of-information-technology,2026-07
au-uwa-com,澳大利亚,西澳大学 UWA,77,Master of Commerce,商科,74,77,79,82,70,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uwa.edu.au/study/courses/master-of-commerce,2026-07
au-uwa-ba,澳大利亚,西澳大学 UWA,77,Master of Business Analytics,商业分析,74,77,79,82,70,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uwa.edu.au/study/courses/master-of-business-analytics,2026-07
au-uwa-eng,澳大利亚,西澳大学 UWA,77,Master of Professional Engineering,工程,74,77,79,82,70,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uwa.edu.au/study/courses/master-of-professional-engineering,2026-07
au-uwa-econ,澳大利亚,西澳大学 UWA,77,Master of Economics,经济学,74,77,79,82,70,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uwa.edu.au/study/courses/master-of-economics,2026-07
au-uwa-hr,澳大利亚,西澳大学 UWA,77,Master of Human Resources & Employment Relations,人力资源,74,77,79,82,70,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uwa.edu.au/study/courses/master-of-human-resources-and-employment-relations,2026-07
au-uwa-mkt,澳大利亚,西澳大学 UWA,77,Master of Marketing,市场营销,74,77,79,82,70,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uwa.edu.au/study/courses/master-of-marketing,2026-07
au-uwa-ir,澳大利亚,西澳大学 UWA,77,Master of International Relations,国际关系,74,77,79,82,70,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.uwa.edu.au/study/courses/master-of-international-relations,2026-07
