id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
au-rmit-it,澳大利亚,皇家墨尔本理工大学 RMIT,140,Master of Information Technology,信息技术,71,74,77,79,67,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-information-technology-mc208,2026-07
au-rmit-ds,澳大利亚,皇家墨尔本理工大学 RMIT,140,Master of Data Science,数据科学,71,74,77,79,67,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-data-science-mc267,2026-07
au-rmit-ai,澳大利亚,皇家墨尔本理工大学 RMIT,140,Master of Artificial Intelligence,人工智能,71,74,77,79,67,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-artificial-intelligence-mc271,2026-07
au-rmit-analytics,澳大利亚,皇家墨尔本理工大学 RMIT,140,Master of Analytics,数据分析,71,74,77,79,67,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-analytics-mc242,2026-07
au-rmit-baai,澳大利亚,皇家墨尔本理工大学 RMIT,140,Master of Business Analytics & AI Strategy,商业分析,71,74,77,79,67,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-business-analytics-and-ai-strategy-mc274,2026-07
au-rmit-com,澳大利亚,皇家墨尔本理工大学 RMIT,140,Master of Commerce,商科,71,74,77,79,67,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-commerce-mc288,2026-07
au-rmit-bit,澳大利亚,皇家墨尔本理工大学 RMIT,140,Master of Business Information Technology,商业信息技术,71,74,77,79,67,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-business-information-technology-mc200,2026-07
au-rmit-cyber,澳大利亚,皇家墨尔本理工大学 RMIT,140,Master of Cyber Security,网络安全,71,74,77,79,67,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-cyber-security-mc159,2026-07
au-rmit-engmgmt,澳大利亚,皇家墨尔本理工大学 RMIT,140,Master of Engineering Management,工程管理,71,74,77,79,67,6.5,6.0,,,本科相关专业背景（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求本科相关背景，具体入学要求以官网为准,,1.5–2 年,多为 2/7 月两次入学；分轮次滚动审理，建议尽早递交（以官网为准）,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-engineering-management-mc226,2026-07
